,ds,opt,randomseed,cls,resampling,grp,gmean,config,cls_grp,cls_resampler
0,new-thyroid2,TPE,90,SVM,SMOTE,Over Resampling,0.997202659436654,"{'classifier': {'C': 122.84121619938267, 'coef0': -0.9147529042522482, 'degree': 3, 'gamma': 'scale', 'gamma_value': 6.604627147334015, 'kernel': 'sigmoid', 'name': 'SVM', 'probability': True, 'random_state': 90, 'shrinking': False, 'tol': 0.05249769196797212}, 'sub': {'k_neighbors': 4, 'random_state': 90, 'smo_grp': 'OVER', 'type': 'SMOTE'}}",SVM-Over Resampling,SVM-SMOTE
1,ecoli-0-1-3-7_vs_2-6,TPE,90,LR,CondensedNearestNeighbour,Under Resampling,0.8986153384425524,"{'classifier': {'C': 25.00055949876554, 'l1_ratio': 0.08117639449687715, 'name': 'LR', 'penalty_solver': 'none+sag', 'random_state': 90, 'tol': 0.05758173861536812}, 'sub': {'n_neighbors': 1, 'n_seeds_S': 12, 'random_state': 90, 'smo_grp': 'UNDER', 'type': 'CondensedNearestNeighbour'}}",LR-Under Resampling,LR-CondensedNearestNeighbour
2,glass-0-1-6_vs_2,TPE,90,SVM,SMOTEENN,Combine Resampling,0.8577425954691387,"{'classifier': {'C': 186.90195688249193, 'coef0': 0.2682496538054604, 'degree': 4, 'gamma': 'scale', 'gamma_value': 6.623700229567763, 'kernel': 'poly', 'name': 'SVM', 'probability': False, 'random_state': 90, 'shrinking': True, 'tol': 0.08336828688880986}, 'sub': {'random_state': 90, 'smo_grp': 'COMBINE', 'type': 'SMOTEENN'}}",SVM-Combine Resampling,SVM-SMOTEENN
3,glass2,TPE,90,LR,BorderlineSMOTE,Over Resampling,0.8514997621854468,"{'classifier': {'C': 77.08446227074595, 'l1_ratio': 0.9138153975543295, 'name': 'LR', 'penalty_solver': 'l2+liblinear', 'random_state': 90, 'tol': 0.06662272119270829}, 'sub': {'k_neighbors': 7, 'kind': 'borderline-2', 'm_neighbors': 5, 'random_state': 90, 'smo_grp': 'OVER', 'type': 'BorderlineSMOTE'}}",LR-Over Resampling,LR-BorderlineSMOTE
4,new-thyroid1,TPE,90,RF,SMOTETomek,Combine Resampling,0.997202659436654,"{'classifier': {'bootstrap': True, 'class_weight': 'balanced_subsample', 'criterion': 'gini', 'max_features': 1, 'min_samples_leaf': 12, 'min_samples_split': 17, 'n_estimators': 68, 'name': 'RF', 'random_state': 90}, 'sub': {'random_state': 90, 'smo_grp': 'COMBINE', 'type': 'SMOTETomek'}}",RF-Combine Resampling,RF-SMOTETomek
5,ecoli2,TPE,90,KNN,TomekLinks,Under Resampling,0.9369310608434857,"{'classifier': {'algorithm': 'brute', 'n_neighbors': 27, 'name': 'KNN', 'p': 0, 'random_state': 90, 'weights': 'distance'}, 'sub': {'smo_grp': 'UNDER', 'type': 'TomekLinks'}}",KNN-Under Resampling,KNN-TomekLinks
6,glass6,TPE,90,KNN,ClusterCentroids,Under Resampling,0.9687330269220912,"{'classifier': {'algorithm': 'brute', 'n_neighbors': 31, 'name': 'KNN', 'p': 9, 'random_state': 90, 'weights': 'distance'}, 'sub': {'estimator': 'MiniBatchKMeans', 'random_state': 90, 'smo_grp': 'UNDER', 'type': 'ClusterCentroids', 'voting': 'hard'}}",KNN-Under Resampling,KNN-ClusterCentroids
7,iris0,TPE,90,RF,RepeatedEditedNearestNeighbours,Under Resampling,1.0,"{'classifier': {'bootstrap': True, 'class_weight': 'balanced_subsample', 'criterion': 'entropy', 'max_features': 'sqrt', 'min_samples_leaf': 18, 'min_samples_split': 9, 'n_estimators': 135, 'name': 'RF', 'random_state': 90}, 'sub': {'kind_sel': 'mode', 'n_neighbors': 13, 'smo_grp': 'UNDER', 'type': 'RepeatedEditedNearestNeighbours'}}",RF-Under Resampling,RF-RepeatedEditedNearestNeighbours
8,glass4,TPE,90,SVM,CondensedNearestNeighbour,Under Resampling,0.926575643531386,"{'classifier': {'C': 124.76065053621302, 'coef0': 0.4514519259778968, 'degree': 2, 'gamma': 'scale', 'gamma_value': 3.6475528799890116, 'kernel': 'rbf', 'name': 'SVM', 'probability': False, 'random_state': 90, 'shrinking': True, 'tol': 0.08343157435387022}, 'sub': {'n_neighbors': 16, 'n_seeds_S': 18, 'random_state': 90, 'smo_grp': 'UNDER', 'type': 'CondensedNearestNeighbour'}}",SVM-Under Resampling,SVM-CondensedNearestNeighbour
9,yeast-1_vs_7,TPE,90,LR,ADASYN,Over Resampling,0.8041130000888629,"{'classifier': {'C': 59.97883749717037, 'l1_ratio': 0.3682881540994873, 'name': 'LR', 'penalty_solver': 'l2+liblinear', 'random_state': 90, 'tol': 0.0723120980078878}, 'sub': {'n_neighbors': 1, 'random_state': 90, 'smo_grp': 'OVER', 'type': 'ADASYN'}}",LR-Over Resampling,LR-ADASYN
