,current_best,run_time,SamplingGrp,SamplingType,ifError,Error,loss,mean,iteration,params
0,0.0,163.75060749053955,UNDER,ClusterCentroids,0,,1.0,0.0,0,"{'classifier': {'bootstrap': True, 'class_weight': None, 'criterion': 'entropy', 'max_features': 'sqrt', 'min_samples_leaf': 18, 'min_samples_split': 13, 'n_estimators': 82, 'name': 'RF', 'random_state': 9}, 'sub': {'estimator': 'KMeans', 'random_state': 9, 'smo_grp': 'UNDER', 'type': 'ClusterCentroids', 'voting': 'hard'}}"
1,0.6595450432230852,306.51606464385986,UNDER,ClusterCentroids,0,,0.34045495677691484,0.6595450432230852,1,"{'classifier': {'criterion': 'gini', 'max_depth': 3, 'max_features': 1, 'min_samples_leaf': 2, 'min_samples_split': 2, 'name': 'DTC', 'random_state': 9}, 'sub': {'estimator': 'KMeans', 'random_state': 9, 'smo_grp': 'UNDER', 'type': 'ClusterCentroids', 'voting': 'hard'}}"
2,0.6595450432230852,307.4545741081238,OVER,BorderlineSMOTE,0,,0.45139023883558993,0.5486097611644101,2,"{'classifier': {'criterion': 'gini', 'max_depth': 3, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 18, 'name': 'DTC', 'random_state': 9}, 'sub': {'k_neighbors': 2, 'kind': 'borderline-2', 'm_neighbors': 9, 'random_state': 9, 'smo_grp': 'OVER', 'type': 'BorderlineSMOTE'}}"
3,0.6595450432230852,313.6744089126587,OVER,RandomOverSampler,0,,1.0,0.0,3,"{'classifier': {'algorithm': 'kd_tree', 'n_neighbors': 1, 'name': 'KNN', 'p': 11, 'random_state': 9, 'weights': 'uniform'}, 'sub': {'random_state': 9, 'smo_grp': 'OVER', 'type': 'RandomOverSampler'}}"
4,0.6595450432230852,314.38480734825134,NO,NO,0,,1.0,0.0,4,"{'classifier': {'criterion': 'gini', 'max_depth': 17, 'max_features': None, 'min_samples_leaf': 8, 'min_samples_split': 15, 'name': 'DTC', 'random_state': 9}, 'sub': {'smo_grp': 'NO', 'type': 'NO'}}"
5,0.6595450432230852,314.8844299316406,OVER,KMeansSMOTE,1,No clusters found with sufficient samples of class 1. Try lowering the cluster_balance_threshold or increasing the number of clusters.,1.0,0.0,5,"{'classifier': {'C': 43.14617033315461, 'coef0': 0.4985319602577152, 'degree': 2, 'gamma': 'scale', 'gamma_value': 2.758888522409327, 'kernel': 'poly', 'name': 'SVM', 'probability': False, 'random_state': 9, 'shrinking': True, 'tol': 0.09161914387872658}, 'sub': {'cluster_balance_threshold': 0.5220236352907542, 'k_neighbors': 3, 'random_state': 9, 'smo_grp': 'OVER', 'type': 'KMeansSMOTE'}}"
6,0.6595450432230852,355.59594798088074,OVER,BorderlineSMOTE,0,,0.6156751061871473,0.3843248938128527,6,"{'classifier': {'algorithm': 'ball_tree', 'n_neighbors': 47, 'name': 'KNN', 'p': 12, 'random_state': 9, 'weights': 'distance'}, 'sub': {'k_neighbors': 6, 'kind': 'borderline-2', 'm_neighbors': 6, 'random_state': 9, 'smo_grp': 'OVER', 'type': 'BorderlineSMOTE'}}"
7,0.6595450432230852,497.30469512939453,UNDER,CondensedNearestNeighbour,0,,1.0,0.0,7,"{'classifier': {'C': 0.18462274628610242, 'coef0': -0.015733422388001683, 'degree': 2, 'gamma': 'value', 'gamma_value': 4.9012156503154145, 'kernel': 'linear', 'name': 'SVM', 'probability': True, 'random_state': 9, 'shrinking': True, 'tol': 0.08883664366659268}, 'sub': {'n_neighbors': 4, 'n_seeds_S': 39, 'random_state': 9, 'smo_grp': 'UNDER', 'type': 'CondensedNearestNeighbour'}}"
8,0.6759811210362429,504.5182638168335,OVER,ADASYN,0,,0.32401887896375714,0.6759811210362429,8,"{'classifier': {'algorithm': 'auto', 'n_neighbors': 31, 'name': 'KNN', 'p': 11, 'random_state': 9, 'weights': 'distance'}, 'sub': {'n_neighbors': 3, 'random_state': 9, 'smo_grp': 'OVER', 'type': 'ADASYN'}}"
9,0.6759811210362429,546.5178065299988,UNDER,CondensedNearestNeighbour,1,"Expected n_neighbors <= n_samples,  but n_samples = 42, n_neighbors = 43",1.0,0.0,9,"{'classifier': {'bootstrap': False, 'class_weight': None, 'criterion': 'entropy', 'max_features': 'log2', 'min_samples_leaf': 19, 'min_samples_split': 4, 'n_estimators': 137, 'name': 'RF', 'random_state': 9}, 'sub': {'n_neighbors': 43, 'n_seeds_S': 17, 'random_state': 9, 'smo_grp': 'UNDER', 'type': 'CondensedNearestNeighbour'}}"
10,0.6759811210362429,559.9247174263,OVER,SVMSMOTE,0,,1.0,0.0,10,"{'classifier': {'bootstrap': False, 'class_weight': 'balanced_subsample', 'criterion': 'entropy', 'max_features': 'log2', 'min_samples_leaf': 6, 'min_samples_split': 3, 'n_estimators': 22, 'name': 'RF', 'random_state': 9}, 'sub': {'k_neighbors': 4, 'm_neighbors': 9, 'out_step': 0.7099634758226547, 'random_state': 9, 'smo_grp': 'OVER', 'type': 'SVMSMOTE'}}"
11,0.6759811210362429,601.1423184871674,UNDER,TomekLinks,0,,1.0,0.0,11,"{'classifier': {'algorithm': 'brute', 'n_neighbors': 47, 'name': 'KNN', 'p': 12, 'random_state': 9, 'weights': 'distance'}, 'sub': {'smo_grp': 'UNDER', 'type': 'TomekLinks'}}"
12,0.6759811210362429,601.4039523601532,UNDER,NearMiss,0,,0.5957171789938291,0.40428282100617086,12,"{'classifier': {'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 15, 'name': 'DTC', 'random_state': 9}, 'sub': {'n_neighbors': 3, 'n_neighbors_ver3': 5, 'smo_grp': 'UNDER', 'type': 'NearMiss', 'version': 1}}"
13,0.6759811210362429,662.3099546432495,OVER,SMOTENC,0,,0.413148105548254,0.586851894451746,13,"{'classifier': {'C': 28.333988147833615, 'coef0': 0.14601300984620313, 'degree': 3, 'gamma': 'value', 'gamma_value': 6.017325263921642, 'kernel': 'poly', 'name': 'SVM', 'probability': True, 'random_state': 9, 'shrinking': True, 'tol': 0.04832521349665664}, 'sub': {'categorical_features': True, 'k_neighbors': 3, 'random_state': 9, 'smo_grp': 'OVER', 'type': 'SMOTENC'}}"
14,0.6759811210362429,665.0058386325836,UNDER,InstanceHardnessThreshold,0,,1.0,0.0,14,"{'classifier': {'C': 110.06609897040305, 'coef0': 0.5739519186914472, 'degree': 2, 'gamma': 'scale', 'gamma_value': 0.7722161261468001, 'kernel': 'sigmoid', 'name': 'SVM', 'probability': True, 'random_state': 9, 'shrinking': False, 'tol': 0.011735359931248494}, 'sub': {'cv': 6, 'estimator': 'decision-tree', 'random_state': 9, 'smo_grp': 'UNDER', 'type': 'InstanceHardnessThreshold'}}"
15,0.6759811210362429,668.7775642871857,UNDER,ClusterCentroids,0,,0.37084607820254256,0.6291539217974574,15,"{'classifier': {'bootstrap': False, 'class_weight': 'balanced_subsample', 'criterion': 'entropy', 'max_features': 1, 'min_samples_leaf': 6, 'min_samples_split': 11, 'n_estimators': 110, 'name': 'RF', 'random_state': 9}, 'sub': {'estimator': 'MiniBatchKMeans', 'random_state': 9, 'smo_grp': 'UNDER', 'type': 'ClusterCentroids', 'voting': 'hard'}}"
16,0.6759811210362429,710.6600670814514,UNDER,TomekLinks,0,,1.0,0.0,16,"{'classifier': {'algorithm': 'brute', 'n_neighbors': 50, 'name': 'KNN', 'p': 4, 'random_state': 9, 'weights': 'distance'}, 'sub': {'smo_grp': 'UNDER', 'type': 'TomekLinks'}}"
17,0.7528533596853617,837.3958575725555,UNDER,ClusterCentroids,0,,0.2471466403146383,0.7528533596853617,17,"{'classifier': {'C': 62.79396452046186, 'l1_ratio': 0.2613866269099405, 'name': 'LR', 'penalty_solver': 'l2+lbfgs', 'random_state': 9, 'tol': 0.012599630776111677}, 'sub': {'estimator': 'KMeans', 'random_state': 9, 'smo_grp': 'UNDER', 'type': 'ClusterCentroids', 'voting': 'hard'}}"
18,0.7528533596853617,843.5798208713531,UNDER,TomekLinks,0,,1.0,0.0,18,"{'classifier': {'bootstrap': True, 'class_weight': 'balanced_subsample', 'criterion': 'entropy', 'max_features': 'sqrt', 'min_samples_leaf': 16, 'min_samples_split': 18, 'n_estimators': 48, 'name': 'RF', 'random_state': 9}, 'sub': {'smo_grp': 'UNDER', 'type': 'TomekLinks'}}"
19,0.7528533596853617,903.5976829528809,UNDER,AllKNN,0,,1.0,0.0,19,"{'classifier': {'algorithm': 'kd_tree', 'n_neighbors': 23, 'name': 'KNN', 'p': 4, 'random_state': 9, 'weights': 'uniform'}, 'sub': {'allow_minority': True, 'kind_sel': 'mode', 'n_neighbors': 17, 'smo_grp': 'UNDER', 'type': 'AllKNN'}}"
20,0.7528533596853617,908.4013967514038,OVER,ADASYN,0,,0.2751848396606902,0.7248151603393098,20,"{'classifier': {'C': 63.93944219042784, 'l1_ratio': 0.17035546895018078, 'name': 'LR', 'penalty_solver': 'l2+lbfgs', 'random_state': 9, 'tol': 0.00013011030691460063}, 'sub': {'n_neighbors': 3, 'random_state': 9, 'smo_grp': 'OVER', 'type': 'ADASYN'}}"
21,0.7528533596853617,913.6021194458008,UNDER,EditedNearestNeighbours,0,,1.0,0.0,21,"{'classifier': {'C': 63.865870719791566, 'l1_ratio': 0.19616886284721138, 'name': 'LR', 'penalty_solver': 'l2+lbfgs', 'random_state': 9, 'tol': 0.00023374793569851533}, 'sub': {'kind_sel': 'all', 'n_neighbors': 16, 'smo_grp': 'UNDER', 'type': 'EditedNearestNeighbours'}}"
22,0.7528533596853617,914.0492172241211,UNDER,RandomUnderSampler,0,,0.2607833459899417,0.7392166540100583,22,"{'classifier': {'C': 65.01934818932176, 'l1_ratio': 0.21550065327980436, 'name': 'LR', 'penalty_solver': 'l2+lbfgs', 'random_state': 9, 'tol': 0.0009648029655825036}, 'sub': {'random_state': 9, 'replacement': True, 'smo_grp': 'UNDER', 'type': 'RandomUnderSampler'}}"
23,0.7528533596853617,914.7493805885315,UNDER,RandomUnderSampler,0,,0.27468803716437284,0.7253119628356272,23,"{'classifier': {'C': 16.26996199053351, 'l1_ratio': 0.40990811034554053, 'name': 'LR', 'penalty_solver': 'none+lbfgs', 'random_state': 9, 'tol': 0.03751668416344953}, 'sub': {'random_state': 9, 'replacement': True, 'smo_grp': 'UNDER', 'type': 'RandomUnderSampler'}}"
24,0.7684045496664453,915.3645570278168,UNDER,RandomUnderSampler,0,,0.23159545033355466,0.7684045496664453,24,"{'classifier': {'C': 94.21359531328699, 'l1_ratio': 0.9105951581055345, 'name': 'LR', 'penalty_solver': 'l2+lbfgs', 'random_state': 9, 'tol': 0.025418980560315937}, 'sub': {'random_state': 9, 'replacement': False, 'smo_grp': 'UNDER', 'type': 'RandomUnderSampler'}}"
25,0.7684045496664453,916.733925819397,COMBINE,SMOTETomek,0,,0.2798377560626374,0.7201622439373626,25,"{'classifier': {'C': 95.91682633212733, 'l1_ratio': 0.9720813277082967, 'name': 'LR', 'penalty_solver': 'none+saga', 'random_state': 9, 'tol': 0.04089436918531919}, 'sub': {'random_state': 9, 'smo_grp': 'COMBINE', 'type': 'SMOTETomek'}}"
26,0.7684045496664453,917.5842456817627,OVER,SMOTE,0,,0.2775305467858865,0.7224694532141135,26,"{'classifier': {'C': 94.16744828125276, 'l1_ratio': 0.972362257015536, 'name': 'LR', 'penalty_solver': 'l2+saga', 'random_state': 9, 'tol': 0.026175108920605955}, 'sub': {'k_neighbors': 3, 'random_state': 9, 'smo_grp': 'OVER', 'type': 'SMOTE'}}"
27,0.7684045496664453,927.0502347946167,UNDER,RepeatedEditedNearestNeighbours,0,,1.0,0.0,27,"{'classifier': {'C': 28.588786358764906, 'l1_ratio': 0.7090316417644835, 'name': 'LR', 'penalty_solver': 'none+newton-cg', 'random_state': 9, 'tol': 0.08693588854618864}, 'sub': {'kind_sel': 'mode', 'n_neighbors': 17, 'smo_grp': 'UNDER', 'type': 'RepeatedEditedNearestNeighbours'}}"
28,0.7684045496664453,932.1470592021942,UNDER,NeighbourhoodCleaningRule,0,,1.0,0.0,28,"{'classifier': {'C': 83.57234433313754, 'l1_ratio': 0.5425823793944016, 'name': 'LR', 'penalty_solver': 'l1+saga', 'random_state': 9, 'tol': 0.01956227867380475}, 'sub': {'n_neighbors': 18, 'smo_grp': 'UNDER', 'threshold_cleaning': 0.41882489108735066, 'type': 'NeighbourhoodCleaningRule'}}"
29,0.7871575548318628,932.6921660900116,UNDER,RandomUnderSampler,0,,0.21284244516813722,0.7871575548318628,29,"{'classifier': {'C': 39.682103160117265, 'l1_ratio': 0.00707983347069796, 'name': 'LR', 'penalty_solver': 'elasticnet+saga', 'random_state': 9, 'tol': 0.06634497799047481}, 'sub': {'random_state': 9, 'replacement': False, 'smo_grp': 'UNDER', 'type': 'RandomUnderSampler'}}"
30,0.7874382310340915,933.1820132732391,UNDER,RandomUnderSampler,0,,0.2125617689659085,0.7874382310340915,30,"{'classifier': {'C': 36.123203184561014, 'l1_ratio': 0.815170889633066, 'name': 'LR', 'penalty_solver': 'elasticnet+saga', 'random_state': 9, 'tol': 0.06576245771091935}, 'sub': {'random_state': 9, 'replacement': False, 'smo_grp': 'UNDER', 'type': 'RandomUnderSampler'}}"
31,0.7874382310340915,936.3448214530945,UNDER,OneSidedSelection,0,,1.0,0.0,31,"{'classifier': {'C': 37.7462162608027, 'l1_ratio': 0.7413581295715054, 'name': 'LR', 'penalty_solver': 'elasticnet+saga', 'random_state': 9, 'tol': 0.07226766018589464}, 'sub': {'n_neighbors': 13, 'n_seeds_S': 8, 'random_state': 9, 'smo_grp': 'UNDER', 'type': 'OneSidedSelection'}}"
32,0.7874382310340915,938.0859248638153,COMBINE,SMOTEENN,0,,0.43122497640246116,0.5687750235975388,32,"{'classifier': {'criterion': 'entropy', 'max_depth': 8, 'max_features': 'log2', 'min_samples_leaf': 17, 'min_samples_split': 6, 'name': 'DTC', 'random_state': 9}, 'sub': {'random_state': 9, 'smo_grp': 'COMBINE', 'type': 'SMOTEENN'}}"
33,0.7874382310340915,938.6620900630951,UNDER,RandomUnderSampler,0,,0.22556879653281503,0.774431203467185,33,"{'classifier': {'C': 41.72504580408482, 'l1_ratio': 0.7271754383131016, 'name': 'LR', 'penalty_solver': 'elasticnet+saga', 'random_state': 9, 'tol': 0.05988169210968637}, 'sub': {'random_state': 9, 'replacement': False, 'smo_grp': 'UNDER', 'type': 'RandomUnderSampler'}}"
34,0.7874382310340915,939.1380953788757,OVER,RandomOverSampler,0,,0.3136811736425428,0.6863188263574572,34,"{'classifier': {'criterion': 'entropy', 'max_depth': 6, 'max_features': 1, 'min_samples_leaf': 1, 'min_samples_split': 17, 'name': 'DTC', 'random_state': 9}, 'sub': {'random_state': 9, 'smo_grp': 'OVER', 'type': 'RandomOverSampler'}}"
35,0.7874382310340915,939.6376450061798,NO,NO,0,,1.0,0.0,35,"{'classifier': {'C': 13.511176973193109, 'l1_ratio': 0.06124889328324068, 'name': 'LR', 'penalty_solver': 'l1+liblinear', 'random_state': 9, 'tol': 0.09982261813564453}, 'sub': {'smo_grp': 'NO', 'type': 'NO'}}"
36,0.7874382310340915,939.9698166847229,UNDER,RandomUnderSampler,0,,0.3251881803219123,0.6748118196780877,36,"{'classifier': {'C': 193.097693558775, 'coef0': -0.9781777290577218, 'degree': 4, 'gamma': 'auto', 'gamma_value': 7.936403585973008, 'kernel': 'rbf', 'name': 'SVM', 'probability': False, 'random_state': 9, 'shrinking': False, 'tol': 0.0035610534515643014}, 'sub': {'random_state': 9, 'replacement': False, 'smo_grp': 'UNDER', 'type': 'RandomUnderSampler'}}"
37,0.7874382310340915,940.479813337326,OVER,BorderlineSMOTE,0,,0.33655010971348653,0.6634498902865135,37,"{'classifier': {'C': 1.6983527208824754, 'l1_ratio': 0.5148139953961977, 'name': 'LR', 'penalty_solver': 'elasticnet+saga', 'random_state': 9, 'tol': 0.06891598965628153}, 'sub': {'k_neighbors': 9, 'kind': 'borderline-1', 'm_neighbors': 8, 'random_state': 9, 'smo_grp': 'OVER', 'type': 'BorderlineSMOTE'}}"
38,0.7874382310340915,941.0564551353455,OVER,KMeansSMOTE,1,No clusters found with sufficient samples of class 1. Try lowering the cluster_balance_threshold or increasing the number of clusters.,1.0,0.0,38,"{'classifier': {'criterion': 'entropy', 'max_depth': 19, 'max_features': None, 'min_samples_leaf': 15, 'min_samples_split': 7, 'name': 'DTC', 'random_state': 9}, 'sub': {'cluster_balance_threshold': 0.036102273845163346, 'k_neighbors': 4, 'random_state': 9, 'smo_grp': 'OVER', 'type': 'KMeansSMOTE'}}"
39,0.7874382310340915,959.3039228916168,OVER,SVMSMOTE,0,,0.9186467118800801,0.08135328811991993,39,"{'classifier': {'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'gini', 'max_features': None, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 75, 'name': 'RF', 'random_state': 9}, 'sub': {'k_neighbors': 2, 'm_neighbors': 6, 'out_step': 0.026369377125092908, 'random_state': 9, 'smo_grp': 'OVER', 'type': 'SVMSMOTE'}}"
40,0.7874382310340915,961.5582571029663,OVER,SMOTENC,0,,0.24432057481392477,0.7556794251860752,40,"{'classifier': {'C': 49.37805729595213, 'l1_ratio': 0.8272112912036648, 'name': 'LR', 'penalty_solver': 'elasticnet+saga', 'random_state': 9, 'tol': 0.08624475690320865}, 'sub': {'categorical_features': True, 'k_neighbors': 1, 'random_state': 9, 'smo_grp': 'OVER', 'type': 'SMOTENC'}}"
41,0.7874382310340915,962.2417905330658,UNDER,NearMiss,0,,0.7463392019295714,0.2536607980704287,41,"{'classifier': {'C': 176.6618130108285, 'coef0': -0.9883134790369115, 'degree': 3, 'gamma': 'auto', 'gamma_value': 0.17766076193063585, 'kernel': 'rbf', 'name': 'SVM', 'probability': False, 'random_state': 9, 'shrinking': False, 'tol': 0.04973390363183287}, 'sub': {'n_neighbors': 6, 'n_neighbors_ver3': 13, 'smo_grp': 'UNDER', 'type': 'NearMiss', 'version': 2}}"
42,0.7874382310340915,963.7309432029724,UNDER,RandomUnderSampler,0,,0.30454627650738986,0.6954537234926101,42,"{'classifier': {'algorithm': 'ball_tree', 'n_neighbors': 3, 'name': 'KNN', 'p': 7, 'random_state': 9, 'weights': 'uniform'}, 'sub': {'random_state': 9, 'replacement': False, 'smo_grp': 'UNDER', 'type': 'RandomUnderSampler'}}"
43,0.7874382310340915,978.5289225578308,UNDER,InstanceHardnessThreshold,0,,0.6084436895972063,0.3915563104027937,43,"{'classifier': {'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'gini', 'max_features': 1, 'min_samples_leaf': 13, 'min_samples_split': 16, 'n_estimators': 15, 'name': 'RF', 'random_state': 9}, 'sub': {'cv': 3, 'estimator': 'linear-svm', 'random_state': 9, 'smo_grp': 'UNDER', 'type': 'InstanceHardnessThreshold'}}"
44,0.7874382310340915,980.9095318317413,UNDER,OneSidedSelection,0,,1.0,0.0,44,"{'classifier': {'criterion': 'entropy', 'max_depth': 11, 'max_features': 'log2', 'min_samples_leaf': 16, 'min_samples_split': 12, 'name': 'DTC', 'random_state': 9}, 'sub': {'n_neighbors': 16, 'n_seeds_S': 16, 'random_state': 9, 'smo_grp': 'UNDER', 'type': 'OneSidedSelection'}}"
45,0.7874382310340915,981.5044121742249,UNDER,CondensedNearestNeighbour,1,"Expected n_neighbors <= n_samples,  but n_samples = 40, n_neighbors = 48",1.0,0.0,45,"{'classifier': {'C': 28.77252219582814, 'l1_ratio': 0.38822258193801523, 'name': 'LR', 'penalty_solver': 'l2+sag', 'random_state': 9, 'tol': 0.0540390509391938}, 'sub': {'n_neighbors': 48, 'n_seeds_S': 14, 'random_state': 9, 'smo_grp': 'UNDER', 'type': 'CondensedNearestNeighbour'}}"
46,0.7874382310340915,988.0774471759796,UNDER,NeighbourhoodCleaningRule,0,,1.0,0.0,46,"{'classifier': {'C': 108.68463671656485, 'coef0': -0.4328719188247604, 'degree': 4, 'gamma': 'auto', 'gamma_value': 7.770317645318101, 'kernel': 'linear', 'name': 'SVM', 'probability': True, 'random_state': 9, 'shrinking': False, 'tol': 0.02847326896435474}, 'sub': {'n_neighbors': 8, 'smo_grp': 'UNDER', 'threshold_cleaning': 0.9193103683993946, 'type': 'NeighbourhoodCleaningRule'}}"
47,0.7874382310340915,990.1863520145416,COMBINE,SMOTETomek,0,,0.36762508478036937,0.6323749152196306,47,"{'classifier': {'algorithm': 'auto', 'n_neighbors': 24, 'name': 'KNN', 'p': 0, 'random_state': 9, 'weights': 'uniform'}, 'sub': {'random_state': 9, 'smo_grp': 'COMBINE', 'type': 'SMOTETomek'}}"
48,0.7874382310340915,990.8560507297516,UNDER,AllKNN,0,,1.0,0.0,48,"{'classifier': {'C': 22.322931226132624, 'l1_ratio': 0.5862414127298761, 'name': 'LR', 'penalty_solver': 'l2+liblinear', 'random_state': 9, 'tol': 0.07741174781931509}, 'sub': {'allow_minority': False, 'kind_sel': 'all', 'n_neighbors': 1, 'smo_grp': 'UNDER', 'type': 'AllKNN'}}"
49,0.7874382310340915,997.5465908050537,UNDER,RepeatedEditedNearestNeighbours,0,,0.6950170780134342,0.3049829219865658,49,"{'classifier': {'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'gini', 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 12, 'n_estimators': 5, 'name': 'RF', 'random_state': 9}, 'sub': {'kind_sel': 'all', 'n_neighbors': 15, 'smo_grp': 'UNDER', 'type': 'RepeatedEditedNearestNeighbours'}}"
50,0.7874382310340915,999.5254697799683,UNDER,EditedNearestNeighbours,0,,1.0,0.0,50,"{'classifier': {'C': 153.3868250011526, 'coef0': 0.9475764657432733, 'degree': 3, 'gamma': 'scale', 'gamma_value': 2.2847556429094977, 'kernel': 'sigmoid', 'name': 'SVM', 'probability': False, 'random_state': 9, 'shrinking': True, 'tol': 0.07154125982563556}, 'sub': {'kind_sel': 'mode', 'n_neighbors': 2, 'smo_grp': 'UNDER', 'type': 'EditedNearestNeighbours'}}"
51,0.7874382310340915,1004.6254258155823,OVER,SMOTE,0,,0.46861985229189385,0.5313801477081062,51,"{'classifier': {'algorithm': 'auto', 'n_neighbors': 9, 'name': 'KNN', 'p': 6, 'random_state': 9, 'weights': 'distance'}, 'sub': {'k_neighbors': 6, 'random_state': 9, 'smo_grp': 'OVER', 'type': 'SMOTE'}}"
52,0.7874382310340915,1006.7794976234436,COMBINE,SMOTEENN,0,,0.24446412809206397,0.755535871907936,52,"{'classifier': {'C': 2.4438531131710377, 'l1_ratio': 0.051245561314308304, 'name': 'LR', 'penalty_solver': 'none+sag', 'random_state': 9, 'tol': 0.06180971459381702}, 'sub': {'random_state': 9, 'smo_grp': 'COMBINE', 'type': 'SMOTEENN'}}"
53,0.7874382310340915,1007.8099520206451,OVER,ADASYN,0,,0.6407532553941669,0.35924674460583306,53,"{'classifier': {'criterion': 'entropy', 'max_depth': 9, 'max_features': 'sqrt', 'min_samples_leaf': 13, 'min_samples_split': 11, 'name': 'DTC', 'random_state': 9}, 'sub': {'n_neighbors': 1, 'random_state': 9, 'smo_grp': 'OVER', 'type': 'ADASYN'}}"
54,0.7874382310340915,1014.9997794628143,OVER,RandomOverSampler,0,,0.2573482164835619,0.7426517835164381,54,"{'classifier': {'C': 48.76561436530065, 'l1_ratio': 0.6392677702020971, 'name': 'LR', 'penalty_solver': 'l2+newton-cg', 'random_state': 9, 'tol': 0.04443143237834879}, 'sub': {'random_state': 9, 'smo_grp': 'OVER', 'type': 'RandomOverSampler'}}"
55,0.7874382310340915,1017.274011850357,NO,NO,0,,1.0,0.0,55,"{'classifier': {'bootstrap': True, 'class_weight': None, 'criterion': 'gini', 'max_features': None, 'min_samples_leaf': 11, 'min_samples_split': 17, 'n_estimators': 21, 'name': 'RF', 'random_state': 9}, 'sub': {'smo_grp': 'NO', 'type': 'NO'}}"
